Category: All categories

Month,JavaScript: (Worldwide),Python: (Worldwide),Java: (Worldwide),Go: (Worldwide),Rust: (Worldwide)
2008-01,7,17,11,11,0
2008-02,7,16,12,9,<1
2008-03,7,16,16,10,<1
2008-04,8,16,14,9,<1
2008-05,10,13,13,9,<1
2008-06,10,13,12,8,0
2008-07,10,14,15,9,<1
2008-08,9,12,12,12,<1
2008-09,8,12,13,12,<1
2008-10,9,12,13,12,<1
2008-11,9,11,14,11,<1
2008-12,9,10,12,10,<1
2009-01,11,10,14,11,<1
2009-02,9,12,14,12,<1
2009-03,10,9,14,10,<1
2009-04,9,9,16,10,<1
2009-05,8,10,15,10,0
2009-06,9,10,15,10,<1
2009-07,8,13,14,9,<1
2009-08,8,10,17,9,0
2009-09,8,9,17,7,0
2009-10,9,10,18,8,<1
2009-11,11,9,18,6,<1
2009-12,11,9,18,5,<1
2010-01,10,9,18,6,<1
2010-02,10,8,20,5,<1
2010-03,10,9,18,5,0
2010-04,9,9,18,6,<1
2010-05,10,9,18,5,<1
2010-06,25,9,21,5,<1
2010-07,43,8,22,5,<1
2010-08,23,9,22,5,<1
2010-09,16,8,22,5,<1
2010-10,15,9,24,5,<1
2010-11,12,10,21,5,<1
2010-12,11,11,21,4,0
2011-01,11,10,22,5,<1
2011-02,12,10,25,4,0
2011-03,9,10,25,5,<1
2011-04,9,11,24,5,<1
2011-05,9,10,23,5,<1
2011-06,11,11,22,4,<1
2011-07,10,11,24,6,<1
2011-08,9,10,24,5,<1
2011-09,9,10,26,5,<1
2011-10,9,10,28,7,<1
2011-11,9,10,27,6,<1
2011-12,10,14,24,6,0
2012-01,10,11,28,7,<1
2012-02,9,11,31,7,0
2012-03,10,10,31,7,0
2012-04,9,11,32,7,<1
2012-05,10,13,32,7,<1
2012-06,11,11,32,7,<1
2012-07,10,12,32,7,<1
2012-08,9,11,33,7,<1
2012-09,9,11,36,8,0
2012-10,9,12,39,8,<1
2012-11,9,10,37,7,<1
2012-12,10,11,33,7,0
2013-01,10,13,38,8,<1
2013-02,11,12,40,8,<1
2013-03,11,14,42,8,<1
2013-04,10,13,42,8,<1
2013-05,11,13,42,8,<1
2013-06,12,13,43,9,<1
2013-07,12,13,45,8,<1
2013-08,11,14,42,10,<1
2013-09,13,13,47,8,<1
2013-10,12,14,49,7,<1
2013-11,12,14,47,7,<1
2013-12,12,16,46,6,1
2014-01,13,13,48,6,2
2014-02,13,15,52,7,1
2014-03,14,18,55,6,1
2014-04,14,14,53,6,1
2014-05,12,13,48,7,1
2014-06,14,14,53,6,1
2014-07,14,16,53,6,1
2014-08,15,16,54,6,1
2014-09,16,17,63,6,1
2014-10,17,17,64,6,1
2014-11,16,18,67,6,1
2014-12,17,17,61,6,1
2015-01,18,18,64,7,1
2015-02,19,20,72,6,1
2015-03,19,20,71,6,1
2015-04,20,22,73,6,1
2015-05,20,22,70,6,1
2015-06,21,23,72,6,1
2015-07,22,22,72,7,1
2015-08,22,23,73,7,1
2015-09,23,25,79,7,1
2015-10,22,26,79,7,1
2015-11,22,25,79,7,1
2015-12,22,25,73,7,1
2016-01,25,27,77,7,1
2016-02,27,30,85,7,1
2016-03,27,29,87,8,1
2016-04,27,30,85,6,1
2016-05,29,30,84,6,1
2016-06,29,30,83,6,1
2016-07,30,29,84,7,1
2016-08,32,32,86,7,2
2016-09,33,38,93,6,1
2016-10,32,39,94,7,1
2016-11,33,38,94,6,1
2016-12,32,37,88,6,2
2017-01,37,41,88,7,2
2017-02,38,45,99,7,2
2017-03,41,50,100,7,1
2017-04,40,46,97,7,2
2017-05,43,50,97,7,1
2017-06,41,51,90,7,1
2017-07,44,54,94,8,1
2017-08,16,21,39,3,1
2017-09,16,23,42,3,1
2017-10,17,23,44,3,1
2017-11,18,24,46,3,1
2017-12,16,22,39,3,1
2018-01,17,24,39,3,1
2018-02,18,26,43,4,1
2018-03,18,27,43,4,1
2018-04,18,26,41,3,1
2018-05,17,26,40,3,1
2018-06,17,27,37,3,1
2018-07,17,27,38,3,1
2018-08,17,27,38,3,1
2018-09,17,29,41,3,1
2018-10,18,30,42,3,1
2018-11,17,29,41,3,1
2018-12,16,27,36,3,1
2019-01,18,30,36,3,1
2019-02,19,31,38,5,1
2019-03,19,32,36,6,1
2019-04,18,31,35,3,1
2019-05,18,32,35,3,1
2019-06,19,34,34,4,1
2019-07,20,35,36,4,1
2019-08,18,35,36,4,1
2019-09,20,39,40,4,1
2019-10,20,39,39,3,1
2019-11,21,38,39,4,1
2019-12,20,38,36,4,1
2020-01,22,41,36,4,1
2020-02,23,44,41,4,1
2020-03,23,45,37,4,1
2020-04,24,51,36,4,1
2020-05,24,47,32,5,1
2020-06,24,47,33,9,1
2020-07,24,46,32,8,1
2020-08,24,44,33,7,1
2020-09,25,47,36,6,1
2020-10,25,46,37,6,1
