Category: All categories

Week,JavaScript: (Worldwide),Python: (Worldwide),Java: (Worldwide),Go: (Worldwide),Rust: (Worldwide)
2015-10-18,44,28,99,25,<1
2015-10-25,44,28,100,26,<1
2015-11-01,45,29,99,26,<1
2015-11-08,42,27,93,25,<1
2015-11-15,45,29,98,25,<1
2015-11-22,43,27,92,25,<1
2015-11-29,43,29,92,25,<1
2015-12-06,46,29,93,24,<1
2015-12-13,45,27,89,24,<1
2015-12-20,37,22,77,24,<1
2015-12-27,31,20,71,22,<1
2016-01-03,43,27,78,23,<1
2016-01-10,44,29,80,23,<1
2016-01-17,46,30,85,23,<1
2016-01-24,45,32,86,24,<1
2016-01-31,46,32,87,23,<1
2016-02-07,44,32,83,22,<1
2016-02-14,46,32,87,23,<1
2016-02-21,47,33,87,23,<1
2016-02-28,48,34,86,23,<1
2016-03-06,47,34,87,24,<1
2016-03-13,47,32,87,24,1
2016-03-20,45,33,82,22,1
2016-03-27,45,32,85,23,<1
2016-04-03,46,33,86,23,<1
2016-04-10,47,34,85,23,<1
2016-04-17,46,34,88,23,<1
2016-04-24,45,32,84,22,1
2016-05-01,43,32,81,23,<1
2016-05-08,47,33,83,22,<1
2016-05-15,48,33,81,23,<1
2016-05-22,47,33,82,22,<1
2016-05-29,46,32,78,22,<1
2016-06-05,46,32,79,22,<1
2016-06-12,47,33,80,22,<1
2016-06-19,47,33,79,21,<1
2016-06-26,46,31,77,22,<1
2016-07-03,42,30,74,21,1
2016-07-10,43,30,73,21,1
2016-07-17,44,32,76,22,<1
2016-07-24,44,31,74,21,<1
2016-07-31,44,30,76,22,<1
2016-08-07,43,29,73,22,<1
2016-08-14,38,27,69,21,<1
2016-08-21,45,31,73,21,<1
2016-08-28,42,32,75,21,<1
2016-09-04,42,32,75,21,<1
2016-09-11,43,33,76,21,<1
2016-09-18,45,36,79,22,<1
2016-09-25,46,35,80,22,<1
2016-10-02,44,35,78,21,<1
2016-10-09,44,36,76,21,<1
2016-10-16,46,37,82,21,<1
2016-10-23,47,38,79,21,<1
2016-10-30,45,38,75,21,<1
2016-11-06,47,38,78,21,<1
2016-11-13,50,40,80,21,<1
2016-11-20,47,37,74,20,<1
2016-11-27,49,39,78,18,<1
2016-12-04,47,39,75,11,1
2016-12-11,47,37,74,11,1
2016-12-18,45,34,69,10,1
2016-12-25,35,27,58,9,1
2017-01-01,41,32,64,10,1
2017-01-08,46,37,71,11,1
2017-01-15,48,38,74,11,1
2017-01-22,47,39,74,10,<1
2017-01-29,48,40,75,11,1
2017-02-05,49,42,79,11,1
2017-02-12,51,43,77,11,1
2017-02-19,52,44,78,11,1
2017-02-26,52,44,78,11,1
2017-03-05,52,44,80,11,1
2017-03-12,51,44,81,10,1
2017-03-19,51,44,80,10,1
2017-03-26,52,47,80,10,1
2017-04-02,52,44,79,10,1
2017-04-09,50,43,74,10,1
2017-04-16,49,43,77,10,1
2017-04-23,51,43,78,10,1
2017-04-30,46,40,70,10,1
2017-05-07,51,42,76,10,1
2017-05-14,49,41,72,11,1
2017-05-21,48,41,70,11,1
2017-05-28,47,39,67,10,1
2017-06-04,47,39,66,10,1
2017-06-11,48,41,68,10,1
2017-06-18,49,42,67,10,1
2017-06-25,46,40,64,10,1
2017-07-02,46,40,65,10,1
2017-07-09,47,41,67,10,1
2017-07-16,48,41,68,10,1
2017-07-23,48,41,68,10,1
2017-07-30,48,41,65,9,1
2017-08-06,46,40,63,10,1
2017-08-13,44,39,60,10,1
2017-08-20,45,39,64,10,1
2017-08-27,45,41,64,10,1
2017-09-03,46,43,67,10,1
2017-09-10,49,46,69,10,1
2017-09-17,48,45,70,10,1
2017-09-24,47,45,70,11,1
2017-10-01,45,45,70,10,1
2017-10-08,47,48,71,11,1
2017-10-15,46,48,68,11,1
2017-10-22,49,48,72,11,1
2017-10-29,47,47,70,11,1
2017-11-05,50,51,73,11,1
2017-11-12,51,51,73,11,1
2017-11-19,47,46,67,10,1
2017-11-26,48,49,70,11,1
2017-12-03,50,50,69,12,1
2017-12-10,47,47,70,11,1
2017-12-17,45,44,62,11,1
2017-12-24,33,33,48,10,1
2017-12-31,38,37,51,11,1
2018-01-07,46,45,62,11,1
2018-01-14,47,46,64,11,1
2018-01-21,48,49,65,11,1
2018-01-28,49,49,68,11,1
2018-02-04,49,51,68,12,1
2018-02-11,47,48,64,11,1
2018-02-18,48,49,67,11,1
2018-02-25,47,49,65,11,1
2018-03-04,49,50,67,12,1
2018-03-11,50,52,69,11,1
2018-03-18,50,52,68,11,1
2018-03-25,46,50,63,11,1
2018-04-01,47,48,65,11,1
2018-04-08,48,51,66,12,1
2018-04-15,49,51,69,12,1
2018-04-22,48,49,65,11,1
2018-04-29,43,46,57,11,1
2018-05-06,47,48,62,11,1
2018-05-13,48,48,64,11,1
2018-05-20,47,49,62,11,1
2018-05-27,46,47,60,11,1
2018-06-03,48,50,61,11,1
2018-06-10,47,49,58,11,1
2018-06-17,46,49,57,11,1
2018-06-24,47,49,58,11,1
2018-07-01,43,46,57,10,1
2018-07-08,46,49,59,11,1
2018-07-15,46,49,60,11,1
2018-07-22,46,50,58,11,1
2018-07-29,47,49,59,11,1
2018-08-05,45,48,59,11,1
2018-08-12,42,46,53,11,1
2018-08-19,46,49,58,11,1
2018-08-26,44,48,57,11,1
2018-09-02,44,50,59,11,1
2018-09-09,45,52,59,12,1
2018-09-16,46,55,63,12,1
2018-09-23,46,54,63,11,1
2018-09-30,43,53,60,11,1
2018-10-07,45,54,62,11,1
2018-10-14,45,55,62,11,1
2018-10-21,45,56,63,11,1
2018-10-28,43,54,60,12,1
2018-11-04,42,52,56,11,1
2018-11-11,45,56,60,11,1
2018-11-18,42,51,58,10,1
2018-11-25,46,54,61,11,1
2018-12-02,46,54,61,11,1
2018-12-09,44,52,58,11,1
2018-12-16,41,48,53,11,1
2018-12-23,29,34,40,10,1
2018-12-30,30,37,40,9,1
2019-01-06,42,50,54,11,1
2019-01-13,41,51,55,11,1
2019-01-20,42,52,56,11,1
2019-01-27,44,54,58,14,1
2019-02-03,43,53,56,14,1
2019-02-10,45,56,58,15,1
2019-02-17,46,57,58,15,1
2019-02-24,45,56,58,15,1
2019-03-03,44,57,56,15,1
2019-03-10,45,56,58,15,1
2019-03-17,44,56,57,15,1
2019-03-24,46,57,56,15,1
2019-03-31,45,57,58,11,1
2019-04-07,44,57,58,11,1
2019-04-14,41,55,53,11,1
2019-04-21,41,54,55,11,1
2019-04-28,38,50,49,10,1
2019-05-05,43,53,54,10,1
2019-05-12,44,56,56,11,1
2019-05-19,44,56,55,11,1
2019-05-26,43,53,52,10,1
2019-06-02,44,56,51,10,1
2019-06-09,44,56,54,11,1
2019-06-16,45,59,54,11,1
2019-06-23,46,58,54,11,1
2019-06-30,43,54,52,10,1
2019-07-07,46,60,55,11,1
2019-07-14,45,59,54,10,1
2019-07-21,45,57,52,10,1
2019-07-28,44,57,50,10,1
2019-08-04,43,56,51,10,1
2019-08-11,41,53,50,10,1
2019-08-18,46,59,55,11,1
2019-08-25,44,59,56,10,1
2019-09-01,43,58,56,10,1
2019-09-08,46,63,57,10,1
2019-09-15,47,64,60,10,1
2019-09-22,45,64,58,10,1
2019-09-29,44,62,55,9,1
2019-10-06,44,66,57,10,1
2019-10-13,46,67,59,9,1
2019-10-20,44,64,56,10,1
2019-10-27,41,59,52,9,1
2019-11-03,45,66,57,9,1
2019-11-10,45,65,57,9,1
2019-11-17,45,67,56,10,1
2019-11-24,42,59,53,9,1
2019-12-01,43,62,54,9,1
2019-12-08,42,61,53,9,1
2019-12-15,42,59,51,9,1
2019-12-22,30,42,39,8,1
2019-12-29,29,41,36,7,1
2020-01-05,41,58,50,9,1
2020-01-12,41,59,50,9,1
2020-01-19,43,62,53,9,1
2020-01-26,43,61,52,9,1
2020-02-02,44,65,54,9,1
2020-02-09,45,66,55,9,1
2020-02-16,46,68,56,9,1
2020-02-23,45,67,55,9,1
2020-03-01,46,67,55,9,1
2020-03-08,43,61,50,9,1
2020-03-15,39,56,46,8,1
2020-03-22,39,59,45,8,1
2020-03-29,40,62,47,9,1
2020-04-05,41,64,47,8,1
2020-04-12,42,65,48,9,1
2020-04-19,43,65,48,9,1
2020-04-26,42,65,47,9,1
2020-05-03,41,64,47,8,1
2020-05-10,44,65,48,9,1
2020-05-17,43,64,45,9,1
2020-05-24,42,63,45,9,1
2020-05-31,42,61,45,9,1
2020-06-07,44,64,45,9,1
2020-06-14,42,63,45,9,1
2020-06-21,42,61,44,9,1
2020-06-28,42,60,44,9,1
2020-07-05,43,63,44,9,1
2020-07-12,44,62,45,10,1
2020-07-19,43,61,46,10,1
2020-07-26,42,59,44,10,1
