Category: All categories

Week,JavaScript: (Worldwide),Python: (Worldwide),Java: (Worldwide),Go: (Worldwide),Rust: (Worldwide)
2015-10-18,22,24,73,6,<1
2015-10-25,23,26,74,6,<1
2015-11-01,20,24,79,8,1
2015-11-08,19,22,74,6,1
2015-11-15,25,24,74,7,1
2015-11-22,22,21,78,5,1
2015-11-29,21,25,70,6,1
2015-12-06,22,24,76,6,1
2015-12-13,22,23,70,5,1
2015-12-20,20,22,64,5,1
2015-12-27,19,22,60,7,2
2016-01-03,24,25,65,5,1
2016-01-10,25,30,78,5,1
2016-01-17,22,26,79,6,2
2016-01-24,24,28,71,7,1
2016-01-31,25,28,76,6,1
2016-02-07,26,26,80,6,2
2016-02-14,26,28,78,8,1
2016-02-21,27,28,82,5,1
2016-02-28,29,30,84,6,1
2016-03-06,26,27,81,10,1
2016-03-13,25,31,89,9,1
2016-03-20,24,27,79,7,2
2016-03-27,25,29,77,5,1
2016-04-03,28,28,84,6,1
2016-04-10,24,33,78,5,1
2016-04-17,26,26,79,6,1
2016-04-24,30,26,78,6,1
2016-05-01,30,26,77,6,1
2016-05-08,30,31,82,6,1
2016-05-15,25,25,77,6,1
2016-05-22,27,30,74,7,1
2016-05-29,28,28,76,5,1
2016-06-05,28,32,77,5,1
2016-06-12,27,29,80,6,1
2016-06-19,27,28,76,5,1
2016-06-26,27,28,76,5,1
2016-07-03,30,30,78,7,1
2016-07-10,27,27,82,7,1
2016-07-17,29,29,81,7,1
2016-07-24,30,26,82,6,1
2016-07-31,30,33,85,7,1
2016-08-07,33,27,82,6,1
2016-08-14,27,29,80,6,2
2016-08-21,26,31,82,7,1
2016-08-28,29,36,81,6,2
2016-09-04,31,33,88,5,1
2016-09-11,33,36,83,6,1
2016-09-18,31,37,90,5,1
2016-09-25,31,34,98,5,1
2016-10-02,32,34,84,7,2
2016-10-09,31,33,87,6,1
2016-10-16,30,36,92,6,<1
2016-10-23,30,33,89,6,1
2016-10-30,29,33,89,6,1
2016-11-06,29,37,84,6,<1
2016-11-13,31,36,90,6,1
2016-11-20,32,39,91,6,1
2016-11-27,31,33,94,5,1
2016-12-04,33,35,90,6,2
2016-12-11,32,33,82,4,2
2016-12-18,33,36,79,6,1
2016-12-25,31,32,78,7,1
2017-01-01,32,35,86,7,2
2017-01-08,36,41,81,6,2
2017-01-15,34,44,84,7,1
2017-01-22,35,39,87,6,2
2017-01-29,36,41,88,7,2
2017-02-05,36,41,92,5,1
2017-02-12,36,46,96,7,1
2017-02-19,38,46,96,7,1
2017-02-26,39,43,94,7,2
2017-03-05,38,46,99,7,1
2017-03-12,38,41,100,6,1
2017-03-19,38,43,96,6,1
2017-03-26,43,54,95,6,1
2017-04-02,42,45,95,6,1
2017-04-09,38,41,96,8,2
2017-04-16,38,45,92,6,1
2017-04-23,38,45,92,9,1
2017-04-30,40,45,96,7,1
2017-05-07,40,47,95,7,1
2017-05-14,40,46,95,5,1
2017-05-21,40,49,85,7,1
2017-05-28,39,50,92,6,1
2017-06-04,39,49,88,8,1
2017-06-11,40,50,86,7,1
2017-06-18,40,47,86,6,1
2017-06-25,36,51,87,6,1
2017-07-02,42,52,89,8,1
2017-07-09,42,52,92,7,1
2017-07-16,48,54,92,7,1
2017-07-23,41,49,89,7,2
2017-07-30,25,33,55,4,1
2017-08-06,15,19,36,3,1
2017-08-13,15,19,35,3,1
2017-08-20,16,20,37,3,1
2017-08-27,15,20,37,3,1
2017-09-03,15,21,39,3,1
2017-09-10,16,23,41,3,<1
2017-09-17,15,22,42,3,<1
2017-09-24,16,22,41,3,1
2017-10-01,16,23,40,3,1
2017-10-08,17,23,42,3,1
2017-10-15,15,21,39,3,1
2017-10-22,15,21,42,3,1
2017-10-29,15,22,43,3,1
2017-11-05,16,24,44,3,1
2017-11-12,16,24,45,3,1
2017-11-19,16,23,42,3,1
2017-11-26,17,23,44,3,1
2017-12-03,16,23,42,4,1
2017-12-10,15,21,39,4,1
2017-12-17,15,22,35,3,1
2017-12-24,13,19,32,3,1
2017-12-31,15,20,34,3,1
2018-01-07,16,23,38,3,1
2018-01-14,16,22,38,3,1
2018-01-21,17,23,38,3,1
2018-01-28,16,24,39,3,1
2018-02-04,16,25,40,3,1
2018-02-11,16,24,39,3,1
2018-02-18,17,25,41,3,1
2018-02-25,17,24,39,3,1
2018-03-04,17,25,39,4,1
2018-03-11,18,25,41,4,1
2018-03-18,17,25,42,4,1
2018-03-25,16,26,39,4,1
2018-04-01,17,25,39,3,1
2018-04-08,16,25,41,3,1
2018-04-15,17,25,40,3,1
2018-04-22,17,24,40,3,<1
2018-04-29,15,24,36,3,1
2018-05-06,17,24,39,3,1
2018-05-13,16,23,36,3,1
2018-05-20,17,25,37,3,<1
2018-05-27,16,25,38,3,<1
2018-06-03,17,26,38,3,1
2018-06-10,15,24,33,3,1
2018-06-17,16,31,35,3,1
2018-06-24,16,24,35,3,1
2018-07-01,16,24,36,3,1
2018-07-08,15,24,34,3,1
2018-07-15,17,25,37,3,1
2018-07-22,16,26,37,3,1
2018-07-29,16,26,37,3,1
2018-08-05,16,26,38,3,1
2018-08-12,15,25,35,3,1
2018-08-19,16,25,36,3,1
2018-08-26,16,25,37,3,<1
2018-09-02,17,28,39,3,<1
2018-09-09,16,28,38,3,1
2018-09-16,17,28,40,3,1
2018-09-23,17,29,42,3,<1
2018-09-30,17,29,41,3,1
2018-10-07,17,29,39,3,1
2018-10-14,17,27,39,3,1
2018-10-21,17,29,39,3,1
2018-10-28,16,27,38,3,1
2018-11-04,15,25,35,3,1
2018-11-11,17,27,40,3,1
2018-11-18,17,28,39,3,1
2018-11-25,17,28,38,3,1
2018-12-02,17,27,39,3,1
2018-12-09,16,27,38,3,1
2018-12-16,16,27,34,3,1
2018-12-23,15,24,29,3,1
2018-12-30,14,24,29,3,1
2019-01-06,18,29,33,3,1
2019-01-13,17,28,33,3,1
2019-01-20,18,29,35,3,1
2019-01-27,18,29,34,4,1
2019-02-03,18,30,36,4,<1
2019-02-10,19,29,37,4,1
2019-02-17,19,32,35,4,1
2019-02-24,18,30,35,5,1
2019-03-03,18,32,36,6,1
2019-03-10,19,31,36,6,1
2019-03-17,18,31,35,5,1
2019-03-24,18,29,34,5,<1
2019-03-31,18,30,35,4,1
2019-04-07,18,29,35,3,1
2019-04-14,17,29,33,3,1
2019-04-21,17,29,33,3,1
2019-04-28,17,28,31,3,1
2019-05-05,17,30,33,3,1
2019-05-12,18,32,35,3,1
2019-05-19,18,30,33,3,1
2019-05-26,18,31,32,3,1
2019-06-02,17,31,31,3,1
2019-06-09,18,32,32,3,1
2019-06-16,18,34,34,3,1
2019-06-23,19,35,34,4,1
2019-06-30,18,34,33,3,1
2019-07-07,18,34,33,4,1
2019-07-14,18,34,35,3,1
2019-07-21,17,33,35,3,1
2019-07-28,17,32,34,3,1
2019-08-04,17,34,33,4,1
2019-08-11,17,31,33,4,1
2019-08-18,18,35,36,4,1
2019-08-25,18,33,35,3,1
2019-09-01,18,35,36,3,1
2019-09-08,19,36,39,3,1
2019-09-15,19,38,40,3,1
2019-09-22,19,39,38,3,1
2019-09-29,19,36,36,3,1
2019-10-06,19,37,37,3,1
2019-10-13,19,37,39,3,1
2019-10-20,19,36,37,3,1
2019-10-27,18,35,35,4,1
2019-11-03,20,37,38,3,1
2019-11-10,21,37,39,4,1
2019-11-17,21,38,41,3,1
2019-11-24,21,37,41,4,1
2019-12-01,21,38,39,3,1
2019-12-08,20,38,38,4,1
2019-12-15,19,38,36,4,1
2019-12-22,17,34,29,3,1
2019-12-29,17,33,29,4,1
2020-01-05,20,37,34,3,1
2020-01-12,20,39,35,3,1
2020-01-19,21,41,35,4,1
2020-01-26,21,40,36,4,1
2020-02-02,21,42,38,3,1
2020-02-09,22,42,39,4,1
2020-02-16,22,43,39,4,1
2020-02-23,23,42,38,4,1
2020-03-01,22,41,38,3,1
2020-03-08,22,40,35,4,1
2020-03-15,21,42,33,4,1
2020-03-22,20,42,32,4,1
2020-03-29,21,46,32,4,1
2020-04-05,22,45,32,4,1
2020-04-12,23,49,35,4,1
2020-04-19,24,50,35,4,1
2020-04-26,23,50,35,4,1
2020-05-03,23,47,32,4,1
2020-05-10,22,46,32,4,1
2020-05-17,22,45,29,4,1
2020-05-24,23,43,30,4,1
2020-05-31,22,45,31,4,1
2020-06-07,24,45,32,6,1
2020-06-14,23,43,30,12,1
2020-06-21,22,44,30,10,1
2020-06-28,22,45,29,8,1
2020-07-05,22,43,30,8,1
2020-07-12,23,42,31,7,1
2020-07-19,23,44,30,7,1
2020-07-26,22,42,30,7,2
2020-08-02,22,41,29,7,1
2020-08-09,23,43,31,7,1
2020-08-16,22,42,31,6,1
2020-08-23,22,42,32,6,1
2020-08-30,23,43,33,6,1
2020-09-06,23,45,33,6,1
2020-09-13,25,45,34,6,1
2020-09-20,25,45,35,6,1
2020-09-27,23,46,35,6,1
2020-10-04,24,43,37,6,1
2020-10-11,23,46,36,6,1
